iter	Passed	Remaining
0	153	153566
1	154	77257
2	156	52091
3	158	39344
4	159	31661
5	160	26649
6	161	22916
7	163	20221
8	164	18071
9	166	16498
10	168	15117
11	169	13989
12	170	12976
13	172	12174
14	174	11462
15	175	10770
16	175	10172
17	177	9685
18	178	9208
19	179	8808
20	180	8417
21	181	8057
22	182	7744
23	183	7466
24	184	7211
25	185	6964
26	187	6744
27	188	6538
28	189	6344
29	190	6154
30	191	5981
31	191	5802
32	192	5645
33	193	5493
34	194	5353
35	195	5227
36	196	5102
37	196	4981
38	197	4869
39	198	4767
40	199	4667
41	200	4570
42	201	4479
43	201	4388
44	202	4300
45	203	4215
46	203	4133
47	204	4057
48	205	3982
49	205	3908
50	206	3838
51	207	3774
52	207	3711
53	208	3650
54	208	3589
55	209	3531
56	210	3474
57	210	3419
58	211	3366
59	211	3316
60	212	3267
61	212	3221
62	213	3174
63	213	3129
64	214	3084
65	214	3040
66	215	2999
67	215	2954
68	216	2915
69	216	2878
70	217	2842
71	217	2807
72	218	2773
73	218	2740
74	219	2708
75	220	2676
76	220	2643
77	221	2613
78	221	2582
79	222	2553
80	222	2523
81	222	2495
82	223	2468
83	223	2441
84	224	2413
85	224	2388
86	225	2363
87	225	2338
88	226	2315
89	226	2292
90	227	2270
91	227	2247
92	228	2225
93	228	2203
94	229	2182
95	229	2162
96	230	2142
97	230	2122
98	231	2104
99	231	2086
100	232	2068
101	232	2047
102	233	2030
103	233	2012
104	234	1995
105	234	1978
106	235	1961
107	235	1945
108	235	1929
109	236	1913
110	237	1898
111	237	1883
112	238	1869
113	238	1854
114	239	1839
115	239	1825
116	239	1811
117	240	1797
118	240	1782
119	241	1769
120	241	1756
121	242	1743
122	242	1729
123	242	1716
124	243	1704
125	244	1693
126	244	1681
127	244	1669
128	245	1657
129	246	1646
130	246	1634
131	246	1623
132	247	1612
133	247	1602
134	248	1591
135	248	1581
136	249	1571
137	249	1561
138	250	1551
139	251	1541
140	251	1532
141	251	1522
142	252	1512
143	252	1503
144	253	1493
145	253	1484
146	254	1475
147	254	1466
148	255	1458
149	255	1450
150	256	1442
151	257	1434
152	257	1425
153	258	1417
154	258	1409
155	259	1401
156	259	1393
157	259	1385
158	260	1377
159	260	1369
160	261	1361
161	261	1354
162	262	1347
163	263	1341
164	263	1334
165	264	1326
166	264	1319
167	265	1312
168	265	1305
169	266	1299
170	266	1292
171	267	1285
172	267	1279
173	268	1272
174	268	1266
175	269	1261
176	269	1255
177	270	1248
178	270	1242
179	271	1236
180	271	1228
181	271	1222
182	272	1216
183	273	1210
184	273	1204
185	273	1198
186	274	1193
187	275	1187
188	275	1183
189	276	1177
190	276	1172
191	277	1166
192	277	1161
193	278	1156
194	278	1150
195	279	1145
196	279	1140
197	280	1134
198	280	1129
199	281	1124
200	281	1120
201	282	1115
202	282	1110
203	283	1106
204	284	1101
205	284	1096
206	285	1092
207	285	1087
208	286	1082
209	286	1077
210	287	1073
211	287	1069
212	288	1064
213	288	1060
214	289	1055
215	289	1051
216	290	1046
217	290	1042
218	291	1038
219	291	1033
220	292	1029
221	292	1024
222	292	1020
223	293	1017
224	294	1013
225	294	1010
226	295	1006
227	295	1002
228	296	998
229	297	994
230	297	991
231	298	987
232	299	984
233	299	980
234	300	977
235	300	973
236	301	970
237	302	967
238	302	963
239	303	960
240	303	956
241	304	953
242	304	949
243	305	946
244	305	942
245	306	940
246	307	937
247	308	934
248	308	931
249	309	928
250	310	925
251	310	922
252	311	918
253	311	915
254	312	912
255	313	909
256	313	907
257	314	904
258	314	901
259	315	897
260	316	894
261	316	891
262	317	888
263	317	885
264	318	882
265	318	879
266	319	876
267	320	874
268	320	871
269	321	868
270	321	866
271	322	863
272	323	860
273	323	857
274	324	855
275	324	852
276	325	849
277	326	847
278	326	845
279	327	842
280	328	839
281	328	836
282	329	834
283	329	831
284	330	828
285	330	826
286	331	823
287	332	821
288	332	818
289	333	815
290	333	813
291	334	810
292	334	808
293	335	805
294	335	802
295	336	800
296	337	797
297	337	795
298	338	792
299	338	790
300	339	788
301	339	785
302	340	783
303	341	780
304	341	778
305	342	776
306	342	773
307	343	771
308	344	769
309	344	767
310	345	764
311	345	762
312	346	759
313	346	757
314	347	754
315	347	752
316	348	750
